Sr No,Item No,Unit,Pack Size,Description,Brand,Unit Price Per Case,Unit Price Per Packsize Unit,Category,Max Quantity,Market Price,Market Price Unit
387,4200036,cs,60/TRAYS,CRACKER ASSORTED DISTINCTIVE HERITAGE,PEPFARM,45.32,,,,,
388,6296430,cs,4/6.6LB,CANDY GUMMY BEARS MINI,NASSAU,61.99,,,,,
389,6400051,cs,4/2.5LB,COOKIE CRUMB OREO MEDIUM CRUNCH,NABISCO,39.54,,,,,
390,7399534,cs,6/42 OZ,CANDY M&M'S PLAIN,M&M,54.73,,,,,
391,4862777,cs,2/10 LB,PASTA SHELL SMALL,LABELLA,27.74,,,,,
392,4064978,cs,4/9 LB,MUSTARD DIJON WITH WHITE WINE IN TIN,INTLIMP,61.94,,,,,
393,4064978,ea,1/9 LB,MUSTARD DIJON WITH WHITE WINE IN TIN,INTLIMP,16.36,,,,,
394,5490297,cs,8/60 OZ,JUICE APPLE UNSWEETENED FANCY,OCNSPRY,21.68,,,,,
395,5623285,cs,150/.5 OZ,CRACKER OYSTER,WSTMNST,15.45,,,,,
396,5855739,cs,1/5 LB,CRACKER FLATBREAD SUPREME,SYS IMP,19.3,,,,,
397,4625653,cs,12/12 OZ,MUSTARD BROWN SPICY BOTTLES,GULDEN,18.25,,,,,
398,5491675,cs,1/20 LB,BEAN BLACK TURTLE DRIED WASH,SYS IMP,19.82,,,,,
399,6586721,cs,1/60 CT,CHIP VARIETY SYSCO/FRITO LAY,LAYS,24.94,,,,,
400,9806423,cs,6/13 OZ,SPICE PEPPER RED CRUSHED,IMP/MCC,0,,,,,
401,9806423,ea,1/13 OZ,SPICE PEPPER RED CRUSHED,IMP/MCC,8.92,,,,,
402,4018404,cs,12/16 OZ,MUSTARD DRY,COLMANS,101.36,,,,,
403,4018404,ea,1/16 OZ,MUSTARD DRY,COLMANS,8.92,,,,,
404,6929897,cs,24/20 OZ,SODA SPRITE PET PLASTIC BOTTLE PROPRIETARY DIMPLE,SPRITE,28.8,,,,,
405,4782694,cs,1/50 LB,SUGAR GRANULATED EXTRA-FINE CANE,SYS CLS,28.15,,,,,
406,4943296,cs,1/25LB,BREAD CRUMB JAPANESE PANKO TOASTED,KIKOMAN,19.2,,,,,
407,5388798,cs,8/60OZ,JUICE CRANBERRY COCKTAIL,OCNSPRY,20.37,,,,,
408,8378111,cs,1/50 LB,FLOUR ALL PURPOSE HOTEL & RESTAURANT BLEACHED ENRICHED MALTED,SYS CLS,13.64,,,,,
409,5604210,cs,3/2 LB,NUT MIXED ULTRA MIX,SYS SUP,79.43,,,,,
410,5331368,cs,24/14 OZ,MILK COCONUT UNSWEETENED,ROLAND,34.12,,,,,
411,5364559,cs,1/25 LB,RICE BASMATI WHITE,PRODUCR,29.5,,,,,
412,4107520,cs,6/#10,CORN WHOLE KERNEL GOLDEN FANCY,SYS CLS,30.53,,,,,
413,4119061,cs,6/1 GAL,OIL VEGETABLE PURE,SYS CLS,37.04,,,,,
414,7872328,cs,4/1 GAL,DRESSING BALSAMIC VINAIGRETTE,KENS,41.78,,,,,
415,2047805,cs,12/8 CT,CRACKER CHEESE PEANUT BUTTER,MUNCHES,19.89,,,,,
416,3344793,cs,60/2 OZ,COOKIE CHOCOLATE CHIP BITE SIZE,FM AMOS,23.6,,,,,
417,4000899,cs,2000/1/10OZ,SUGAR PACKET,SYS CLS,12.75,,,,,
418,5807185,cs,12/25FL Z,SAUCE CHILI SWEET THAI,MAEPLOY,40.82,,,,,
419,1353483,cs,6/12 OZ,PASTA FUSILLI GLUTEN FREE,HRTLND,13.57,,,,,
420,2368969,cs,12/16 OZ,PASTA CAMPANELLE,BARILLA,18.97,,,,,
421,5016456,cs,20/1 LB,"PASTA LINGUINE 10""",LABELLA,16,,,,,
422,5097738,cs,12/28 OZ,ANCHOVY FILET IN OLIVE OIL,ROLAND,154.5,,,,,
423,5097738,ea,1/28 OZ,ANCHOVY FILET IN OLIVE OIL,ROLAND,13.6,,,,,
424,9689688,cs,1/25 LB,RICE JASMINE,JDMTCLS,27.28,,,,,
425,3369388,cs,4/1 GAL,SAUCE BBQ ORIGINAL,SWTBABY,43.75,,,,,
426,6819155,cs,12/1 LTR,JUICE LIME AND COCKTAIL MIX,ROSES,49.99,,,,,
427,5835376,cs,3/2 LB,NUT MACADAMIA DRY ROASTED UNSALTED,SYS IMP,105.09,,,,,
428,6814594,cs,6/14 OZ,NUT ALMOND BLANCHED SLICED,SYS CLS,41.24,,,,,
429,1917622,cs,1/72CT,SUGAR STICK WHITE SWIZZLE,DRYDEN,22.05,,,,,
430,4040895,cs,6/1 GAL,VINEGAR WHITE DSTD 5%,HEINZ,18.72,,,,,
431,4040895,ea,1/1 GAL,VINEGAR WHITE DSTD 5%,HEINZ,3.3,,,,,
432,4086161,cs,5/5 KILO,CHOCOLATE WHITE CONFECTION #W11 NATURAL VANILLA,CALLEBT,219.7,,,,,
433,4086161,ea,1/5 KILO,CHOCOLATE WHITE CONFECTION #W11 NATURAL VANILLA,CALLEBT,46.42,,,,,
434,5846902,cs,2/10 KG,CHOCOLATE #811 BITTERSWEET DISCS,CALLEBT,147.35,,,,,
435,5846902,ea,1/10 KG,CHOCOLATE #811 BITTERSWEET DISCS,CALLEBT,77.84,,,,,
436,1286319,cs,6/#10,OLIVE RIPE SLICED,AREZCLS,43.23,,,,,
437,1286319,ea,1/#10,OLIVE RIPE SLICED,AREZCLS,7.61,,,,,
438,5102009,cs,6/5 LB,BATTER MIX TEMPURA,KIKOMAN,26.84,,,,,
439,6160063,cs,12/16 OZ,SPICE WASABI POWDER,ROLAND,101.22,,,,,
440,6160063,ea,1/16 OZ,SPICE WASABI POWDER,ROLAND,8.91,,,,,
441,2182063,cs,6/# 10,PEACH SLICED CHOICE EXTRA IN LIGHT SYRUP,SYS CLS,43.38,,,,,
442,389365,cs,6/#10,SAUCE CHEESE CHEDDAR AGED ZERO TRANS FAT,SYS REL,46.77,,,,,
443,5823083,cs,8/60 OZ,JUICE GRAPEFRUIT RUBY RED,OCNSPRY,20.59,,,,,
444,5914908,cs,3/2 LB,SPICE PEPPER BLACK POUCH SHAKER GROUND,IMP/MCC,80.75,,,,,
445,5914908,ea,1/2 LB,SPICE PEPPER BLACK POUCH SHAKER GROUND,IMP/MCC,28.44,,,,,
446,6929863,cs,24/20 OZ,SODA COKE CLASSIC CONTOUR TRAY PACK,COCACOL,28.8,,,,,
447,9806498,cs,6/20 OZ,SPICE CHILI POWDER DARK,IMP/MCC,0,,,,,
448,9806498,ea,1/20 OZ,SPICE CHILI POWDER DARK,IMP/MCC,10.76,,,,,
449,4038360,cs,12/1 LB,MINOR'S CHICKEN BASE NO MSG 12X1 LB (HAS GLUTEN),MINOR,85.14,,,,,
450,4296653,cs,6/1 GAL,VINEGAR APPLE CIDER,HEINZ,23.07,,,,,
451,4296653,ea,1/1 GAL,VINEGAR APPLE CIDER,HEINZ,4.06,,,,,
452,4461513,cs,6/5 KILO,MUSTARD DIJON WHOLE GRAIN TIN,ROLAND,93.14,,,,,
453,4461513,ea,1/5 KILO,MUSTARD DIJON WHOLE GRAIN TIN,ROLAND,16.4,,,,,
454,4645388,cs,3/2 LB,WALNUT HALVES & PIECES,SYS CLS,56.3,,,,,
455,4889291,cs,1/5 LB,PECAN PIECES FANCY MEDIUM RAW,SYS CLS,61.3,,,,,
456,4069076,cs,4/1 GAL,MAYONNAISE REAL,HELLMAN,60.14,,,,,
457,6172118,cs,6/7LB2OZ,KETCHUP FANCY JUG,HEINZ,33.34,,,,,
458,6929905,cs,24/20 OZ,SODA COKE DIET CLASSIC CONTOUR TRAY PLASTIC,COCACOL,28.8,,,,,
459,4019097,cs,12/46 OZ,JUICE PINEAPPLE NOT FROM CONCENTRATE 100% UNSWEETENED,DOLE,22.25,,,,,
460,5228747,cs,6/1 LB,SPICE CURRY POWDER,IMP/MCC,0,,,,,
461,5228747,ea,1/1 LB,SPICE CURRY POWDER,IMP/MCC,11.24,,,,,
462,2122333,cs,24/12 OZ,SODA GINGER ALE 4 EACH 6-PACKS,SEAGRAM,13.01,,,,,
463,4410775,cs,24/12 OZ,SODA CLUB,SEAGRAM,13.04,,,,,
464,4946489,cs,24/5.5 OZ,JUICE CLAMATO,MOTTS,14.57,,,,,
465,5593702,cs,12/2 LB,SUGAR BROWN LIGHT CANE,SYS CLS,24.57,,,,,
466,8969822,cs,1/5LB,NUT PECANS GLAZED HALVES & PIECES,CHFXPRS,45.33,,,,,
467,4121950,cs,48/6 OZ,JUICE PINEAPPLE NOT FROM CONCENTRATE 100%,DOLE,17.81,,,,,
468,4788808,cs,4/.75GAL,FILLING PIE APPLE,BKRSCLS,52.19,,,,,
469,4788808,ea,1/.75GAL,FILLING PIE APPLE,BKRSCLS,13.79,,,,,
470,5152483,cs,6/66.5OZ,TUNA WHITE CHUNK IN WATER,CHICSEA,114.48,,,,,
471,2391670,cs,3/2 LB,NUT CASHEW ROASTED UNSALTED,SYS IMP,81.85,,,,,
472,4522264,cs,5/2 LB,COCONUT SHREDDED FANCY,BKRSCLS,19.44,,,,,
473,6094171,cs,6/24 CT,TEA BAG GREEN ZEN,TAZO,20.78,,,,,
474,6094189,cs,6/24 CT,TEA BAG CHAMOMILE BLEND CALM,TAZO,21.26,,,,,
475,6094197,cs,6/24 CT,TEA BAG EARL GREY,TAZO,20.84,,,,,
476,1495449,cs,1/50CT,SEAWEED NORI GREEN,PACKER,20.09,,,,,
477,1649169,cs,4/10 CT,SEAWEED NORI KOMI FURIKAKE,MISHIMA,0,,,,,
478,1649169,ea,1/10 CT,SEAWEED NORI KOMI FURIKAKE,MISHIMA,45.96,,,,,
479,7996101,cs,1/50 LB,RICE CALROSE MEDIUM GREEN SUSHI,ROLAND,73.13,,,,,
480,9312596,cs,24/14 OZ,MILK CONDENSED SWEETENED,CASACLS,42.51,,,,,
481,4429821,cs,6/70 OZ,SALSA CHUNKY RESTAURANT STYLE,CASACLS,49.27,,,,,
482,3347747,cs,12/15 OZ,SAUCE RASPBERRY DESIGNER,LYON M,27.17,,,,,
483,4246336,cs,12/7.05OZ,CRACKER ASSORTMENT FOR CHEESE,CARRS,47.04,,,,,
484,3463423,cs,1/5 LB,PECAN PIECES LARGE CANDIED,FSHRNUT,64.42,,,,,
485,6638878,cs,6/19.50Z,SPICE PEPPER BLACK WHOLE,IMP/MCC,0,,,,,
486,6638878,ea,1/19.50Z,SPICE PEPPER BLACK WHOLE,IMP/MCC,16.52,,,,,
487,5220611,cs,4/1 GAL,VINEGAR WINE SEASONED RICE,ROLAND,34.8,,,,,
488,5220611,ea,1/1 GAL,VINEGAR WINE SEASONED RICE,ROLAND,9.19,,,,,
489,7220888,cs,2/5 LB,GRAIN SPECIALTY QUINOA RED AND,ROLAND,52.33,,,,,
490,3966009,cs,1/16 OZ,SPICE PEPPER BLACK 1/2 CRACKED (DROP SHIP),D'ALLAS,27.67,,,,,
491,4008116,cs,1/10 LB,CRACKER GRAHAM HONEY,KEEBLER,31.48,,,,,
492,3069853,cs,12/1 LTR,WATER SPARKLING IMPORTED MINERAL GLASS BOTTLE,SAN PEL,17.63,,,,,
493,4363453,cs,4/24 OZ,SEASONING BLACKENED REDFISH,MAGIC,34.43,,,,,
494,4363453,ea,1/24 OZ,SEASONING BLACKENED REDFISH,MAGIC,9.09,,,,,
495,5083944,cs,6/.5GAL,CHERRY MARASCHINO WITH STEMS LARGE IN PLASTIC JAR,SYS IMP,66.36,,,,,
496,5083944,ea,1/.5GAL,CHERRY MARASCHINO WITH STEMS LARGE IN PLASTIC JAR,SYS IMP,11.69,,,,,
497,5564810,cs,24/12 OZ,SODA TONIC WATER CAN,CAN DRY,0,,,,,
498,8147920,cs,24/12 OZ,SODA COKE DIET CANS 4 EACH 6-PACKS PACK,COCACOL,13.01,,,,,
499,1800905,cs,24/6 CT,CANDY BAR SNICKERS 2.07 OZ,SNICKER,96.7,,,,,
500,1800905,ea,1/6 CT,CANDY BAR SNICKERS 2.07 OZ,SNICKER,4.26,,,,,
501,128314,cs,12/13.75Z,ARTICHOKE HEARTS 5-7 COUNT,ROLAND,0,,,,,
502,5097761,cs,12/28 OZ,PALM HEART WHOLE IMPORTED,ROLAND,84.21,,,,,
503,5522487,cs,20/1  LB,PASTA ZITI,LABELLA,19.3,,,,,
504,7620281,cs,16/14 OZ,KETCHUP SQUEEZE UPSIDE DOWN RED,HEINZ,25.94,,,,,
505,3502721,cs,4/1.13GL,SAUCE SOY SWEET,BAILBST,94.8,,,,,
506,4201848,cs,4/6 LB,SPRINKLE RAINBOW 6 COLOR,AMERSPR,58.17,,,,,
507,4201848,ea,1/6 LB,SPRINKLE RAINBOW 6 COLOR,AMERSPR,15.37,,,,,
508,4646533,cs,1/10 LB,PASTA PENNE CHICKPEA GLUTEN FREE,BANZA,29.07,,,,,
509,5625389,cs,6/12.90Z,GLAZE BALSAMIC,ROLAND,40.21,,,,,
510,7967946,cs,2/10 LB,PASTA PENNE RIGATE,BARILLA,20.31,,,,,
511,9806456,cs,6/41.25Z,SPICE GARLIC SALT,IMP/MCC,0,,,,,
512,9806456,ea,1/41.25Z,SPICE GARLIC SALT,IMP/MCC,9.54,,,,,
513,9869330,cs,4/8LB,HORSERADISH WHITE PREPARED,SYS CLS,53.33,,,,,
514,9869330,ea,1/8LB,HORSERADISH WHITE PREPARED,SYS CLS,14.09,,,,,
515,3420587,cs,12/11.5OZ,MAYONNAISE SQUEEZE BOTTLE,HELLMAN,31.51,,,,,
516,3895497,cs,1/6 OZ,SPICE ANISE STAR,D'ALLAS,7.8,,,,,
517,4736070,cs,12/12 OZ,MUSTARD YELLOW CLASSIC SQUEEZE BOTTLE,FRENCHS,15.97,,,,,
518,4009189,cs,6/5 LB,PEANUT BUTTER CREAMY,SYS CLS,63.64,,,,,
519,4009189,ea,1/5 LB,PEANUT BUTTER CREAMY,SYS CLS,11.21,,,,,
520,3292804,cs,6/14 OZ,PAN COATING SUNFLOWER NON GMO,SUSTAIN,34.28,,,,,
521,3341443,cs,12/16 OZ,SAUCE CHOCOLATE DESIGNER,LYON M,26.3,,,,,
522,4361432,cs,6/5 LB,HONEY PURE CLOVER GRADE A IN JUG,SYS CLS,91.94,,,,,
523,4361432,ea,1/5 LB,HONEY PURE CLOVER GRADE A IN JUG,SYS CLS,16.19,,,,,
524,225254,cs,500/27 GM,KETCHUP CUP DIP & SQUEEZE,HEINZ,56.45,,,,,
525,9153982,cs,4/1 GAL,SAUCE SOY GLUTEN FREE,JDMTCLS,36.65,,,,,
526,9153982,ea,1/1 GAL,SAUCE SOY GLUTEN FREE,JDMTCLS,9.68,,,,,
527,4096954,cs,1/20 LB,BEAN LENTIL DRIED,SYS CLS,0,,,,,
528,5310263,cs,20/1 LB,PASTA ANGEL HAIR,BARILLA,27.68,,,,,
529,5846714,cs,3/1GAL,OIL OLIVE EXTRA VIRGIN R,AREZIMP,77.13,,,,,
530,5846714,ea,1/1GAL,OIL OLIVE EXTRA VIRGIN R,AREZIMP,27.16,,,,,
531,2451417,cs,12/28 OZ,SAUCE CHILI HOT SRIRACHA,HUYFONG,34.36,,,,,
532,5757091,cs,12/7 OZ,PEPPER CHIPOTLE ADOBO SAUCE,EMBASSA,19.95,,,,,
533,7012984,cs,2/72CT,COOKIE MINI MACAROON (DROP SHIP),PASQUIR,71.33,,,,,
534,4537971,cs,4/1 GAL,DRESSING 1000 ISLAND CHEF STYLE,SYS CLS,37.23,,,,,
535,4537971,ea,1/1 GAL,DRESSING 1000 ISLAND CHEF STYLE,SYS CLS,9.83,,,,,
536,7187042,cs,6/32 OZ,TOMATO ROASTED OVEN (DROP SHIP),ROLAND,69.48,,,,,
537,4280343,cs,24/12 OZ,TOMATO PASTE FANCY CALIFORNIA,HUNTS,33.56,,,,,
538,4537540,cs,4/1 GAL,DRESSING BLUE CHEESE POURABLE,SYS CLS,49.87,,,,,
539,4537540,ea,1/1 GAL,DRESSING BLUE CHEESE POURABLE,SYS CLS,13.17,,,,,
540,79634,cs,6/#10,BEAN BLACK LOW SODIUM,BUSH,23.24,,,,,
541,5099155,cs,12/32 OZ,COCKTAIL MIXER SOUR BAR BOTTLE,OCNSPRY,23.41,,,,,
542,6261887,cs,12/28 OZ,ANCHOVY FILLETS IN SUNFLOWER OIL,CONSUL,178.81,,,,,
543,6261887,ea,1/28 OZ,ANCHOVY FILLETS IN SUNFLOWER OIL,CONSUL,15.74,,,,,
544,1317908,cs,1/2 GAL,SAUERKRAUT SHREDDED FANCY,BBRLCLS,16.7,,,,,
545,4096368,cs,4/1 GAL,SAUCE TARTAR HIDDEN COVE,SYS IMP,40.73,,,,,
546,4096368,ea,1/1 GAL,SAUCE TARTAR HIDDEN COVE,SYS IMP,10.76,,,,,
547,5229174,cs,6/18 OZ,SPICE PAPRIKA GROUND MIDDLE EAST EXPORT LABEL,IMP/MCC,0,,,,,
548,5229174,ea,1/18 OZ,SPICE PAPRIKA GROUND MIDDLE EAST EXPORT LABEL,IMP/MCC,8.99,,,,,
549,6332845,cs,6/1 GAL,OIL OLIVE CANOLA EVOO 75/25,AREZCLS,55.97,,,,,
550,7220900,cs,2/5 LB,GRAIN SPECIALTY QUINOA PRE-WASHED,ROLAND,48.55,,,,,
551,3839776,cs,24/15 OZ,PEA PIGEON GREEN (GANDULES),GOYA,32.46,,,,,
552,5158502,cs,3/8 OZ.,SPICE BAY LEAVES WHOLE,IMP/MCC,0,,,,,
553,5158502,ea,1/8 OZ.,SPICE BAY LEAVES WHOLE,IMP/MCC,16.3,,,,,
554,5429766,cs,4/4.4 LB,OLIVE KALAMATA PITTED PLASTIC KEG,SYS IMP,76.93,,,,,
555,5429766,ea,1/4.4 LB,OLIVE KALAMATA PITTED PLASTIC KEG,SYS IMP,20.32,,,,,
556,7410467,cs,4/140 OZ,SAUCE CHEESE CHEDDAR SHARP,GEHL,42.86,,,,,
557,4689212,cs,12/13 OZ,ANCHOVY FILLET EASY OPEN TIN IN OLIVE OIL,AREZCLS,100,,,,,
558,4689212,ea,1/13 OZ,ANCHOVY FILLET EASY OPEN TIN IN OLIVE OIL,AREZCLS,8.8,,,,,
559,5016670,cs,20/1 LB,PASTA SPAGHETTI 1.8 MM,LABELLA,16.22,,,,,
560,7896659,cs,24/14 OZ,SAUCE CRANBERRY JELLIED,SYS IMP,31.96,,,,,
561,4042479,cs,4/1 GAL,VINEGAR RED WINE,REGINA,31.83,,,,,
562,4042479,ea,1/1 GAL,VINEGAR RED WINE,REGINA,8.41,,,,,
563,3304193,cs,12/8.8OZ,PASTA PAPPARDELLE EGG,DECECCO,24.22,,,,,
564,4274684,cs,144/1/8OZ,SAUCE TABASCO HOT BOTTLE MINI,TABASCO,59.98,,,,,
565,4276251,cs,4/6 LB,SPRINKLE CHOCOLATE,AMERSPR,64.17,,,,,
566,4276251,ea,1/6 LB,SPRINKLE CHOCOLATE,AMERSPR,16.95,,,,,
567,5102736,cs,12/5 OZ,SAUCE TABASCO HOT,TABASCO,36.28,,,,,
568,5522479,cs,20/1 LB,PASTA PENNE RIGATE,LABELLA,21.55,,,,,
569,4537524,cs,4/1 GAL,DRESSING BLUE CHEESE CHUNKY PREMADE,SYS CLS,53.06,,,,,
570,4537524,ea,1/1 GAL,DRESSING BLUE CHEESE CHUNKY PREMADE,SYS CLS,14.02,,,,,
571,5889738,cs,1/5 LB,TOMATO SUNDRIED JULIENNE,AREZIMP,32.35,,,,,
572,8426330,cs,4/1 GAL,PEPPER JALAPENO SLICES,CASACLS,32.42,,,,,
573,8426330,ea,1/1 GAL,PEPPER JALAPENO SLICES,CASACLS,8.56,,,,,
574,5228713,cs,6/14 OZ,SPICE CUMIN GROUND,IMP/MCC,0,,,,,
575,5228713,ea,1/14 OZ,SPICE CUMIN GROUND,IMP/MCC,10.54,,,,,
576,5016464,cs,20/1 LB,"PASTA FETTUCCINE 10""",LABELLA,18.9,,,,,
577,4007522,cs,12/10OZ,SAUCE STEAK GLASS,A.1.,46.47,,,,,
578,818047,cs,1/25 LB,RICE JASMINE THAI PREMIUM GRADE,JDMTIMP,23.87,,,,,
579,2164125,cs,12/3.5OZ,CRACKER CRISP BREAD GOJI PISTOLES (DROP SHIP),KIINTRL,55.54,,,,,
580,7015055,cs,12/5.3OZ,CRACKER CRISP MINI DATE ALMND (DROP SHIP),KIINTRL,59.51,,,,,
581,7015056,cs,12/5.3OZ,CRACKER CRISP MINI RAISIN PECAN (DROP SHIP),KIINTRL,59.51,,,,,
582,7015057,cs,12/5.3OZ,CRACKER CRISP MINI CRAN HAZLNT (DROP SHIP),KIINTRL,59.51,,,,,
583,7764707,cs,6/#10,MILK COCONUT UNSWEETENED,ROLAND,63.44,,,,,
584,5371299,cs,6/48 OZ,MUSTARD DIJON,GREY P,67.59,,,,,
585,7838818,cs,6/18OZ,CHIP PITA SIMPLY NAKED,STACYS,24.61,,,,,
586,966473,cs,12/12 OZ,STARCH POTATO (DROP SHIP),SWAN,22.49,,,,,
587,5228671,cs,6/14 OZ,SPICE CORIANDER GROUND,IMP/MCC,0,,,,,
588,5228671,ea,1/14 OZ,SPICE CORIANDER GROUND,IMP/MCC,9.25,,,,,
589,7048836,cs,4/105 OZ,MUSTARD YELLOW,FRENCHS,17.61,,,,,
590,1686601,cs,12/24 OZ,SAUCE FISH 3 CRABS,GLDCTRY,0,,,,,
591,4080966,cs,12/1 LB,MARSHMALLOW MINI WHITE,SYS CLS,24.89,,,,,
592,5060603,cs,12/1 LB,MARSHMALLOW REGULAR,JETPUFF,24.53,,,,,
593,6822561,cs,18/3.2 OZ,DRESSING MIX RANCH ORIGINAL,HVR,34.99,,,,,
594,771141,cs,4/1 GAL,DRESSING RASPBERRY VINAIGRETTE LIGHT,HELLMAN,45.73,,,,,
595,771141,ea,1/1 GAL,DRESSING RASPBERRY VINAIGRETTE LIGHT,HELLMAN,12.08,,,,,
596,1828599,cs,24/1 LB,YEAST ACTIVE FRESH,FLEISHM,36.55,,,,,
597,1828599,ea,1/1 LB,YEAST ACTIVE FRESH,FLEISHM,1.61,,,,,
